headline,date,doc_type,material_type,section,keywords
Facebook Gives Workers a Chatbot to Appease That Prying Uncle,2019-12-02,article,News,,"['Social Media', 'Artificial Intelligence', 'Public Relations and Publicity']"
A Deadly Crackdown in Iran,2019-12-03,article,News,,"['Politics and Government', 'Demonstrations, Protests and Riots', 'Inflation (Economics)', 'Economic Conditions and Trends', 'Oil (Petroleum) and Gasoline']"
‘Black Widow’ Trailer: Scarlett Johansson Battles Florence Pugh,2019-12-03,article,News,,['Movies']
"Lesson of the Day: ‘With Brutal Crackdown, Iran Is Convulsed by Worst Unrest in 40 Years’",2019-12-03,article,News,,[]
"Trump’s Other Personal Lawyer: Close to the Right, but Far From Giuliani",2019-12-01,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Trump Tax Returns', 'Christians and Christianity', 'Evangelical Movement', 'Legal Profession', 'Religion-State Relations']"
Fanciful Mochi With a French Twist,2019-12-03,article,News,,['Ice Cream and Frozen Desserts']
Lena Waithe’s Art of Protest,2019-12-02,article,News,,"['Movies', 'Blacks', 'Black People', 'Writing and Writers']"
From Friends to Frenemies? Trump’s Relationships With World Leaders,2019-12-03,article,News,,"['United States International Relations', 'Customs (Tariff)']"
The Future of Sex Lives in All of Us,2019-12-02,article,News,,"['Sex', 'Children and Childhood']"
"For Boris Johnson, a Perilous Week Negotiating Terrorism and Trump",2019-12-02,article,News,,"['Sentences (Criminal)', 'Terrorism']"
Cory Booker Bets $100 Billion on Historically Black Colleges and Universities,2019-12-03,article,News,,"['Presidential Election of 2020', 'Blacks', 'Black People', 'Colleges and Universities', 'Historically Black Colleges and Universities', 'Pell Grants']"
‘Star Wars’ Star Billy Dee Williams Uses Gender-Fluid Pronouns,2019-12-02,article,News,,"['Transgender and Transsexuals', 'Movies', 'ACTORS AND ACTRESSES']"
What Iran Did Not Want You to See,2019-12-02,article,Op-Ed,,"['Human Rights and Human Rights Violations', 'Censorship', 'Politics and Government', 'Demonstrations, Protests and Riots', 'Deaths (Fatalities)', 'your-feed-opinionvideo']"
"The Overlooked Undocumented Immigrants: From India, China, Brazil",2019-12-01,article,News,,"['Illegal Immigration', 'Visas', 'Indian-Americans', 'Asian-Americans', 'Immigration and Emigration']"
Will Europe Ever Trust America Again?,2019-12-03,article,Op-Ed,,"['United States International Relations', 'Presidential Election of 2020']"
A Civilian Camp in Syria Was Bombed. Here’s How We Traced the Culprit.,2019-12-01,article,News,,"['your-feed-visual-investigations', 'War Crimes, Genocide and Crimes Against Humanity']"
U.S. Marine Charged With Smuggling Guns Into Haiti,2019-12-03,article,News,,"['Defense and Military Forces', 'United States Defense and Military Forces', 'Firearms', 'Haitian-Americans']"
ISIS Is Losing Afghan Territory. That Means Little for Its Victims.,2019-12-02,article,News,,"['Afghanistan War (2001- )', 'Terrorism', 'Civilian Casualties']"
Era Ends for Google as Founders Step Aside From a Pillar of Tech,2019-12-03,article,News,,['Appointments and Executive Changes']
Uncharted Territory on Abortion Politics,2019-12-03,article,News,,"['Presidential Election of 2020', 'ABORTION']"
"Even at the Indie-Leaning Gotham Awards, Netflix Is a Juggernaut",2019-12-03,article,News,,"['Movies', 'Academy Awards (Oscars)', 'Gotham Independent Film Awards']"
A Furniture Designer Who Learned Under Raf Simons,2019-12-03,article,News,,"['Furniture', 'Design', 'Tables', 'Desks']"
Steve Bullock Drops Out of 2020 Presidential Race,2019-12-02,article,News,,['Presidential Election of 2020']
"After Long Gap, Supreme Court Poised to Break Silence on Gun Rights",2019-12-02,article,News,,"['Gun Control', 'Second Amendment (US Constitution)', 'Constitution (US)', 'Suits and Litigation (Civil)']"
Have We Finally Caught Up With Andrea Fraser?,2019-12-03,article,News,,"['Art', 'Museums', 'Collectors and Collections', 'Performance Art', 'Women and Girls']"
Mother Ginger’s Little Helpers,2019-12-02,article,News,,['Dancing']
"Helen Yang, Maxwell Meyer",2019-12-01,article,News,,['Weddings and Engagements']
Limited Edition Challah at Zaro’s,2019-12-02,article,News,,"['Bakeries and Baked Products', 'Bread']"
Gladiators of Impeachment: How 2 Lawyers Got the Case,2019-12-02,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Presidential Election of 2020']"
Duncan Hunter Will Plead Guilty to Misuse of Campaign Funds,2019-12-02,article,News,,"['Campaign Finance', 'Embezzlement', 'United States Politics and Government']"
Facebook Testing a Way to Let You Move Photos to Rival Sites,2019-12-02,article,News,,"['Social Media', 'Regulation and Deregulation of Industry', 'Antitrust Laws and Competition Issues', 'Privacy', 'General Data Protection Regulation (GDPR)', 'Photography']"
Mikaela Shiffrin Learns a New Way to Win: Without Her Mother as Coach,2019-12-01,article,News,,['World Cup (Skiing)']
How I Found Myself in Mrs. Maisel’s Shoes,2019-12-01,article,News,,"['Comedy and Humor', 'Bars and Nightclubs']"
"‘I Don’t Know Prince Andrew,’ Trump Says. Photos Say Otherwise.",2019-12-03,article,News,,['Politics and Government']
